game_id,team,wr1_snap_share,skill_snap_share,ol_starter_share,ol_starters,season
2013_12_DEN_NE,ne,0.85,0.4166666666666667,0.978,5,2013
2013_12_IND_ARI,ari,0.95,0.4481818181818182,1.0,5,2013
2013_12_IND_ARI,ind,0.82,0.45363636363636367,1.0,5,2013
2013_12_JAX_HOU,hou,1.0,0.4183333333333333,0.9039999999999999,5,2013
2013_12_JAX_HOU,jax,0.97,0.45272727272727276,1.0,5,2013
2013_12_MIN_GB,gb,0.99,0.41583333333333333,1.0,5,2013
2013_12_MIN_GB,min,0.62,0.41583333333333333,0.992,5,2013
2013_12_NO_ATL,atl,0.99,0.3823076923076923,0.9199999999999999,5,2013
2013_12_NO_ATL,no,0.77,0.39666666666666667,1.0,5,2013
2013_12_NYJ_BAL,bal,1.0,0.4290909090909091,1.0,5,2013
2013_12_NYJ_BAL,nyj,0.75,0.45454545454545453,1.0,5,2013
2013_12_PIT_CLE,cle,0.99,0.45454545454545453,1.0,5,2013
2013_12_PIT_CLE,pit,0.89,0.4290909090909091,1.0,5,2013
2013_12_SD_KC,kc,0.84,0.4509090909090909,1.0,5,2013
2013_12_SD_KC,sd,0.99,0.45545454545454545,1.0,5,2013
2013_12_SF_WAS,sf,0.85,0.38,0.9800000000000001,5,2013
2013_12_SF_WAS,was,0.93,0.45363636363636367,1.0,5,2013
2013_12_TB_DET,det,0.99,0.45454545454545453,1.0,5,2013
2013_12_TB_DET,tb,0.9,0.3761538461538461,1.0,5,2013
2013_12_TEN_OAK,oak,0.84,0.3983333333333334,0.9960000000000001,5,2013
2013_12_TEN_OAK,ten,0.91,0.4166666666666667,1.0,5,2013
2013_13_ARI_PHI,ari,0.97,0.44181818181818183,1.0,5,2013
2013_13_ARI_PHI,phi,1.0,0.4166666666666667,1.0,5,2013
2013_13_ATL_BUF,atl,0.97,0.37,0.976,5,2013
2013_13_ATL_BUF,buf,0.86,0.38461538461538464,1.0,5,2013
2013_13_CHI_MIN,chi,0.96,0.4075,1.0,5,2013
2013_13_CHI_MIN,min,0.59,0.4175,1.0,5,2013
2013_13_CIN_SD,cin,0.89,0.4166666666666667,0.984,5,2013
