nhl_game_id,season,goalie_id,goalie_name,team,xga,ga,gsax
2010020134,2010,8473404,Niklas Backstrom,MIN,2.045,1,1.045
2010020134,2010,8473607,Michal Neuvirth,WSH,2.227,2,0.227
2010020135,2010,8470140,Kari Lehtonen,DAL,2.1156,4,-1.8844
2010020135,2010,8467453,Andrew Raycroft,DAL,0.6077,0,0.6077
2010020135,2010,0,,DAL,0.8131,1,-0.1869
2010020135,2010,8471734,Jonathan Quick,L.A,3.9247,2,1.9247
2010020136,2010,8475431,Henrik Karlsson,CGY,3.6022,6,-2.3978
2010020136,2010,8469514,Peter Budaj,COL,2.2512,5,-2.7488
2010020137,2010,8467913,Alex Auld,MTL,3.6696,1,2.6696
2010020137,2010,8460806,Dwayne Roloson,NYI,2.4948,3,-0.5052
2010020138,2010,8470320,Cam Ward,CAR,4.0735,3,1.0735
2010020138,2010,8468685,Henrik Lundqvist,NYR,4.8102,4,0.8102
2010020139,2010,8475683,Sergei Bobrovsky,PHI,2.3815,2,0.3815
2010020139,2010,8470594,Marc-Andre Fleury,PIT,2.038,3,-0.962
2010020140,2010,8462152,Chris Mason,ATL,2.1761,3,-0.8239
2010020140,2010,8468011,Ryan Miller,BUF,1.7332,4,-2.2668
2010020141,2010,8460612,Marty Turco,CHI,0.9572,4,-3.0428
2010020141,2010,8470645,Corey Crawford,CHI,0.7453,2,-1.2547
2010020141,2010,0,,CHI,0.8427,1,-0.1573
2010020141,2010,8459140,Nikolai Khabibulin,EDM,3.5506,4,-0.4494
2010020142,2010,8473972,Jonas Hiller,ANA,1.1527,2,-0.8473
2010020142,2010,8455710,Martin Brodeur,N.J,1.7636,1,0.7636
2010020143,2010,8468685,Henrik Lundqvist,NYR,3.1767,0,3.1767
2010020143,2010,8462044,Jean-Sebastien Giguere,TOR,1.6667,1,0.6667
2010020144,2010,8460712,Tomas Vokoun,FLA,2.7517,1,1.7517
2010020144,2010,8471679,Carey Price,MTL,1.9575,2,-0.0425
2010020145,2010,8460703,Tim Thomas,BOS,2.1311,0,2.1311
2010020145,2010,8470880,Brian Elliott,OTT,2.77,4,-1.23
2010020146,2010,8468481,Rick DiPietro,NYI,3.5591,6,-2.4409
2010020146,2010,8475683,Sergei Bobrovsky,PHI,3.0949,0,3.0949
2010020147,2010,8470320,Cam Ward,CAR,2.8721,3,-0.1279
2010020147,2010,8462161,Brent Johnson,PIT,4.0443,0,4.0443
2010020148,2010,8458568,Chris Osgood,DET,1.1894,2,-0.8106
2010020148,2010,8471469,Pekka Rinne,NSH,2.763,5,-2.237
2010020149,2010,8471715,Ondrej Pavelec,ATL,3.2969,3,0.2969
2010020149,2010,8470860,Jaroslav Halak,STL,4.0298,3,1.0298
2010020150,2010,8460612,Marty Turco,CHI,1.8189,1,0.8189
2010020150,2010,8473404,Niklas Backstrom,MIN,2.066,2,0.066
2010020150,2010,0,,MIN,0.6162,1,-0.3838
2010020151,2010,8459579,Patrick Lalime,BUF,4.4937,4,0.4937
2010020151,2010,8467453,Andrew Raycroft,DAL,2.4623,0,2.4623
2010020152,2010,8473461,Steve Mason,CBJ,1.9372,4,-2.0628
2010020152,2010,8464999,Mathieu Garon,CBJ,1.0033,1,0.0033
2010020152,2010,8469514,Peter Budaj,COL,4.5848,1,3.5848
2010020153,2010,8468524,Ilya Bryzgalov,ARI,2.9975,3,-0.0025
2010020153,2010,8468540,Dan Ellis,T.B,1.9802,0,1.9802
2010020154,2010,8462147,Miikka Kiprusoff,CGY,3.153,6,-2.847
2010020154,2010,8473607,Michal Neuvirth,WSH,3.2692,2,1.2692
2010020155,2010,8471734,Jonathan Quick,L.A,2.1588,1,1.1588
2010020155,2010,8455710,Martin Brodeur,N.J,1.6667,3,-1.3333
2010020156,2010,8470147,Curtis McElhinney,ANA,4.626,5,-0.374
2010020156,2010,8467511,Antero Niittymaki,S.J,3.2044,2,1.2044
2010020157,2010,8460612,Marty Turco,CHI,2.8545,3,-0.1455
2010020157,2010,8468685,Henrik Lundqvist,NYR,2.4319,2,0.4319
