gsis_id,player,bucket,mu,sigma,snaps,cons,rating_0_100,active_2025,tier
00-0031589,Brett Hundley,QB,25.075,4.621,662,11.211,17.1,0,D
00-0034391,Siran Neal,DB,26.578,3.893,656,14.899,17.1,0,D
00-0034052,Brandon Zylstra,WR,25.197,3.936,520,13.388,17.1,0,D
00-0034309,Chad Beebe,WR,25.885,4.17,379,13.374,17.1,0,D
00-0035660,Kahale Warring,TE,25.14,6.37,65,6.029,17.1,0,D
00-0034623,Andre Chachere,DB,24.57,3.225,567,14.894,17.1,0,D
00-0040196,Tyler Baron,DL,21.196,5.243,85,5.467,17.1,1,D
00-0031353,Michael Schofield,OL,25.538,3.142,4913,16.113,17.0,0,D
00-0031308,Kevin Pierre-Louis,LB,25.436,3.812,1119,14.0,17.0,0,D
00-0029419,Dennis Kelly,OL,25.666,3.18,2673,16.126,17.0,0,D
00-0029587,Rhett Ellison,TE,25.163,4.176,1598,12.636,17.0,0,D
