game_id,play_id,passer_player_id,rusher_player_id,receiver_player_id
2016_01_CLE_PHI,146,00-0032950,,00-0030061
2016_01_CLE_PHI,170,00-0032950,,00-0025549
2016_01_CLE_PHI,194,,00-0030465,
2016_01_CLE_PHI,215,00-0032950,,00-0030061
2016_01_CLE_PHI,244,,00-0027864,
2016_01_CLE_PHI,265,00-0032950,,00-0031299
2016_01_CLE_PHI,316,00-0029665,,00-0026281
2016_01_CLE_PHI,338,,00-0030656,
2016_01_CLE_PHI,359,,00-0029665,
2016_01_CLE_PHI,412,,00-0027864,
2016_01_CLE_PHI,433,00-0032950,,00-0030990
2016_01_CLE_PHI,488,00-0032950,,00-0031299
2016_01_CLE_PHI,510,,00-0027864,
2016_01_CLE_PHI,554,00-0032950,,00-0030990
2016_01_CLE_PHI,593,,00-0030656,
2016_01_CLE_PHI,614,00-0029665,,00-0030656
2016_01_CLE_PHI,638,00-0029665,,00-0032257
2016_01_CLE_PHI,691,,00-0027864,
2016_01_CLE_PHI,712,,00-0027864,
2016_01_CLE_PHI,733,,00-0027864,
2016_01_CLE_PHI,754,,00-0023564,
2016_01_CLE_PHI,775,00-0032950,,
2016_01_CLE_PHI,814,00-0029665,,00-0032068
2016_01_CLE_PHI,838,,00-0027918,
2016_01_CLE_PHI,875,00-0029665,,00-0026281
2016_01_CLE_PHI,897,,00-0032257,
2016_01_CLE_PHI,918,00-0032950,,00-0031299
2016_01_CLE_PHI,942,,00-0027864,
2016_01_CLE_PHI,965,,00-0027864,
2016_01_CLE_PHI,996,00-0032950,,00-0031299
2016_01_CLE_PHI,1052,00-0029665,,00-0028825
2016_01_CLE_PHI,1076,00-0029665,,00-0032966
2016_01_CLE_PHI,1105,00-0029665,,00-0032257
2016_01_CLE_PHI,1152,00-0029665,,00-0028825
2016_01_CLE_PHI,1176,,00-0030656,
2016_01_CLE_PHI,1197,00-0029665,,00-0027918
2016_01_CLE_PHI,1252,,00-0030656,
2016_01_CLE_PHI,1307,00-0032950,,00-0031549
2016_01_CLE_PHI,1337,,00-0027864,
2016_01_CLE_PHI,1358,00-0032950,,00-0031549
2016_01_CLE_PHI,1397,00-0029665,,00-0028825
2016_01_CLE_PHI,1421,,00-0030656,
2016_01_CLE_PHI,1442,,00-0030656,
