player,gsis_id,bucket,rating_0_100,tier,n_eff
Clyde Edwards-Helaire,00-0036360,RB,50.9,B,1474
Ian Thomas,00-0034365,TE,50.8,B,3229
Kindle Vildor,00-0036307,DB,50.8,B,2286
Nahshon Wright,00-0036986,DB,50.8,B,1386
Tyrique Stevenson,00-0039071,DB,50.8,B,2171
Jerry Tillery,00-0035674,DL,50.7,B,3552
Quinn Meinerz,00-0037001,OL,50.7,B,4523
Andre James,00-0035127,OL,50.6,B,3823
Marist Liufau,00-0039352,LB,50.6,B,661
Anthony Nelson,00-0035254,LB,50.5,B,2922
Christian Darrisaw,00-0036616,OL,50.5,B,3244
Teven Jenkins,00-0036953,OL,50.4,B,2406
Cole Strange,00-0038103,OL,50.4,B,2351
Nate Wiggins,00-0039232,DB,50.4,B,1695
Terrance Ferguson,00-0040737,TE,50.4,B,380
Ben Bredeson,00-0036132,OL,50.3,B,3555
Jonathan Owens,00-0034485,DB,50.3,B,2420
Cooper Beebe,00-0039348,OL,50.3,B,1702
Theo Johnson,00-0039847,TE,50.3,B,1450
Chig Okonkwo,00-0037809,TE,50.2,B,2230
Josiah Deguara,00-0036332,TE,50.1,B,978
Jason Pinnock,00-0036502,DB,50.1,B,3000
Anthony Richardson,00-0039164,QB,50.1,B,763
Matthew Golden,00-0040667,WR,50.1,B,463
Lil'Jordan Humphrey,00-0035406,WR,50.0,B,1831
Justin Fields,00-0036945,QB,50.0,B,3132
Azeez Ojulari,00-0036552,LB,50.0,B,1835
Ivan Pace Jr.,00-0038807,LB,50.0,B,1405
Antonio Johnson,00-0038596,DB,50.0,B,1455
C.J. Henderson,00-0036281,DB,49.9,B,2052
Dane Belton,00-0038123,DB,49.9,B,1752
Tyree Wilson,00-0038541,DL,49.9,B,1373
Chase Edmonds,00-0034681,RB,49.8,B,1805
Donovan Wilson,00-0035301,DB,49.8,B,4580
Ryan Neuzil,00-0036833,OL,49.8,B,1773
Malcolm Rodriguez,00-0037289,LB,49.7,B,1121
Derrick Harmon,00-0040678,DL,49.7,B,461
David Quessenberry,00-0030097,OL,49.6,B,2490
Dane Jackson,00-0036166,DB,49.6,B,2413
Chris Paul,00-0037092,OL,49.6,B,1379
Anton Harrison,00-0038934,OL,49.6,B,2918
