nhl_game_id,team,is_home,pp_xgf,pp_shots
2013020985,BOS,0,0.3827,5
2013020985,MTL,1,1.1177,14
2013020986,VAN,0,0.0895,7
2013020986,WPG,1,0.4457,7
2013020987,CHI,0,0.0838,11
2013020987,COL,1,1.6939,14
2013020988,ANA,0,0.005,1
2013020988,CGY,1,0.4977,6
2013020989,ARI,0,0.0547,6
2013020990,BUF,0,0.0872,6
2013020990,CAR,1,2.2,20
2013020991,CBJ,1,0.3641,6
2013020991,SJS,0,0.515,4
2013020992,FLA,0,0.6818,6
2013020992,TBL,1,0.5935,7
2013020993,EDM,0,1.1879,11
2013020993,STL,1,1.107,13
2013020994,MIN,1,0.4658,4
2013020994,NYR,0,0.5774,7
2013020995,LAK,1,1.2643,10
2013020995,TOR,0,0.5903,6
2013020996,SJS,0,0.0164,3
2013020997,VAN,0,0.2784,13
2013020997,WSH,1,0.5633,7
2013020998,DET,1,0.3723,6
2013020998,EDM,0,0.0067,1
2013020999,FLA,1,0.5327,4
2013020999,NJD,0,0.8411,2
2013021000,CHI,1,0.1525,1
2013021000,NSH,0,0.8287,4
2013021001,NYR,0,0.0681,5
2013021001,WPG,1,0.6562,7
2013021002,CGY,0,0.7615,1
2013021003,ANA,0,0.1102,8
2013021003,COL,1,1.149,14
2013021004,BOS,1,0.9043,6
2013021004,CAR,0,0.0504,5
2013021005,PHI,1,0.5067,8
2013021005,PIT,0,0.0669,6
2013021006,MTL,1,0.9199,10
2013021006,OTT,0,0.0332,4
2013021007,NJD,0,0.0099,1
2013021008,BUF,0,1.6889,17
2013021008,NYI,1,0.7252,7
2013021009,NSH,1,0.1506,3
2013021009,STL,0,0.6307,3
2013021010,MIN,1,0.2019,2
2013021011,ARI,1,1.7147,20
2013021011,CGY,0,2.185,8
2013021012,ANA,0,0.0399,4
2013021012,LAK,1,0.9319,9
2013021013,FLA,1,1.1766,11
2013021013,VAN,0,1.0293,10
2013021014,TOR,0,0.0668,9
2013021014,WSH,1,0.7888,7
2013021015,CAR,1,0.3556,7
2013021015,EDM,0,0.5667,6
2013021016,NYR,1,0.5222,5
2013021017,COL,0,0.3874,1
