player,gsis_id,pos,z,conservative_z,n_duels
Matthew Golden,00-0040667,WR,-0.388,-0.959,55
Cole Kmet,00-0036290,TE,-0.425,-0.963,151
Ryan Flournoy,00-0039410,WR,-0.408,-0.966,65
CeeDee Lamb,00-0036358,WR,-0.564,-0.967,262
Aaron Rodgers,00-0023459,QB,-0.114,-0.978,435
Josh Oliver,00-0035249,TE,-0.34,-0.983,61
De'Von Achane,00-0039040,RB,0.25,-0.988,337
DeMario Douglas,00-0038621,WR,-0.51,-0.99,140
Xavier Worthy,00-0039894,WR,-0.52,-0.992,151
Ladd McConkey,00-0039915,WR,-0.533,-0.996,161
Dawson Knox,00-0035689,TE,-0.444,-1.001,131
Chris Moore,00-0032398,WR,-0.449,-1.001,70
Jordan Addison,00-0038994,WR,-0.541,-1.001,166
Rashod Bateman,00-0036550,WR,-0.508,-1.002,124
Jonnu Smith,00-0033858,TE,-0.489,-1.01,172
Ricky Pearsall,00-0039916,WR,-0.475,-1.01,84
Jalen McMillan,00-0039855,WR,-0.443,-1.011,57
Calvin Ridley,00-0034837,WR,-0.559,-1.012,175
Tyler Shough,00-0040743,QB,0.003,-1.014,273
Jordan Whittington,00-0039751,WR,-0.436,-1.015,49
Demarcus Robinson,00-0032775,WR,-0.537,-1.018,140
Luther Burden III,00-0040735,WR,-0.475,-1.02,75
Darius Slayton,00-0035535,WR,-0.562,-1.023,166
Keenan Allen,00-0030279,WR,-0.614,-1.023,250
Tyler Higbee,00-0033110,TE,-0.476,-1.029,135
Kendrick Bourne,00-0033307,WR,-0.549,-1.033,136
Colby Parkinson,00-0036244,TE,-0.466,-1.035,119
Josh Palmer,00-0036988,WR,-0.549,-1.036,131
DJ Moore,00-0034827,WR,-0.628,-1.037,251
Zach Ertz,00-0030061,TE,-0.531,-1.039,189
Andrei Iosivas,00-0038619,WR,-0.523,-1.039,102
Mason Rudolph,00-0034771,QB,0.036,-1.039,228
Justin Fields,00-0036945,QB,-0.125,-1.043,369
Brock Bowers,00-0039338,TE,-0.513,-1.043,161
KaVontae Turpin,00-0037801,WR,-0.531,-1.044,104
Kareem Hunt,00-0033923,RB,0.228,-1.045,311
Keon Coleman,00-0039901,WR,-0.529,-1.046,100
Justin Watson,00-0034386,WR,-0.491,-1.047,66
Marvin Mims Jr.,00-0038976,WR,-0.556,-1.049,126
Darnell Washington,00-0038558,TE,-0.413,-1.052,64
T.J. Hockenson,00-0035229,TE,-0.541,-1.052,184
Tre Harris,00-0040727,WR,-0.468,-1.053,45
Gabe Davis,00-0036196,WR,-0.561,-1.058,121
Tim Patrick,00-0033375,WR,-0.524,-1.058,84
Jalen Nailor,00-0037291,WR,-0.531,-1.061,88
Chris Olave,00-0037239,WR,-0.635,-1.063,215
Jimmy Garoppolo,00-0031345,QB,0.075,-1.064,187
Nick Mullens,00-0033319,QB,0.214,-1.065,117
Parker Washington,00-0038606,WR,-0.586,-1.066,140
Tyler Huntley,00-0035993,QB,0.004,-1.067,231
Quentin Johnston,00-0038544,WR,-0.605,-1.071,158
Mecole Hardman,00-0035140,WR,-0.528,-1.074,74
Tyquan Thornton,00-0038104,WR,-0.518,-1.075,65
Will Dissly,00-0034159,TE,-0.471,-1.075,89
Drake London,00-0037238,WR,-0.653,-1.076,223
Ashton Dulin,00-0035021,WR,-0.476,-1.077,35
Tez Johnson,00-0040237,WR,-0.498,-1.079,48
Kyle Pitts,00-0036970,TE,-0.576,-1.08,194
Pat Bryant,00-0040134,WR,-0.504,-1.081,51
Davante Adams,00-0031381,WR,-0.683,-1.083,268
Oronde Gadsden II,00-0040189,TE,-0.449,-1.083,67
Brandin Cooks,00-0031236,WR,-0.628,-1.088,166
