game_id,team,st_epa_for,n_for,st_epa_against,n_against,fx_epa_for,fx_n_for,fx_epa_against,fx_n_against
1999_10_SF_NO,SF,0.683514,9,-0.951919,5,2.281811,2,0.081535,3
1999_10_TEN_CIN,CIN,6.318227,10,5.568718,10,-2.515728,3,0.279294,4
1999_10_TEN_CIN,TEN,5.568718,10,6.318227,10,0.279294,4,-2.515728,3
1999_10_WAS_PHI,PHI,9.869238,9,6.438706,10,0.180701,6,-2.643471,5
1999_10_WAS_PHI,WAS,6.438706,10,9.869238,9,-2.643471,5,0.180701,6
1999_11_ATL_TB,ATL,2.289518,12,1.847820,8,0.324893,2,4.691768,5
1999_11_ATL_TB,TB,1.847820,8,2.289518,12,4.691768,5,0.324893,2
1999_11_BAL_CIN,BAL,1.652309,13,2.894778,11,1.684980,6,-2.213456,6
1999_11_BAL_CIN,CIN,2.894778,11,1.652309,13,-2.213456,6,1.684980,6
1999_11_BUF_NYJ,BUF,3.106085,10,3.471372,9,-6.554376,3,0.854264,3
1999_11_BUF_NYJ,NYJ,3.471372,9,3.106085,10,0.854264,3,-6.554376,3
1999_11_CAR_CLE,CAR,1.383001,7,4.616377,9,1.416144,5,-2.151621,4
1999_11_CAR_CLE,CLE,4.616377,9,1.383001,7,-2.151621,4,1.416144,5
1999_11_CHI_SD,CHI,0.914183,12,3.873120,11,-1.240929,6,-1.970600,5
1999_11_CHI_SD,LAC,3.873120,11,0.914183,12,-1.970600,5,-1.240929,6
1999_11_DAL_ARI,ARI,2.608876,7,4.444237,11,1.274086,3,-2.664474,2
1999_11_DAL_ARI,DAL,4.444237,11,2.608876,7,-2.664474,2,1.274086,3
1999_11_DET_GB,DET,4.262161,12,-0.094501,7,1.122591,2,2.867712,4
1999_11_DET_GB,GB,-0.094501,7,4.262161,12,2.867712,4,1.122591,2
1999_11_IND_PHI,IND,-0.633882,8,6.296828,15,2.347566,8,1.881840,3
1999_11_IND_PHI,PHI,6.296828,15,-0.633882,8,1.881840,3,2.347566,8
1999_11_NE_MIA,MIA,5.610654,11,4.381287,12,0.319306,5,0.294438,3
